id,lat,lon,n_trigger_events,lambda,trigger_probability,expected_loss,premium
px_000282,44.45,11.25,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000283,44.45,11.35,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000284,44.45,11.45,0,0.0,0.0,0.0,0.0
px_000285,44.45,11.55,0,0.0,0.0,0.0,0.0
px_000286,44.45,11.65,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000287,44.45,11.75,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000288,44.45,11.85,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000289,44.45,11.95,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000290,44.45,12.05,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000291,44.45,12.15,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000292,44.45,12.25,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000293,44.45,12.35,3,0.15,0.1392920235749422,696.4601178747109,870.5751473433886
px_000294,44.45,12.45,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000295,44.45,12.55,3,0.15,0.1392920235749422,696.4601178747109,870.5751473433886
px_000296,44.45,12.65,3,0.15,0.1392920235749422,696.4601178747109,870.5751473433886
px_000297,44.45,12.75,3,0.15,0.1392920235749422,696.4601178747109,870.5751473433886
px_000298,44.45,12.85,3,0.15,0.1392920235749422,696.4601178747109,870.5751473433886
px_000299,44.45,12.95,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000300,44.55,7.05,0,0.0,0.0,0.0,0.0
px_000301,44.55,7.15,0,0.0,0.0,0.0,0.0
px_000302,44.55,7.25,0,0.0,0.0,0.0,0.0
px_000303,44.55,7.35,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000304,44.55,7.45,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000305,44.55,7.55,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000306,44.55,7.65,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000307,44.55,7.75,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000308,44.55,7.85,0,0.0,0.0,0.0,0.0
px_000309,44.55,7.95,0,0.0,0.0,0.0,0.0
px_000310,44.55,8.05,0,0.0,0.0,0.0,0.0
px_000311,44.55,8.15,0,0.0,0.0,0.0,0.0
px_000312,44.55,8.25,0,0.0,0.0,0.0,0.0
px_000313,44.55,8.35,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000314,44.55,8.45,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000315,44.55,8.55,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000316,44.55,8.65,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000317,44.55,8.75,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000318,44.55,8.85,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000319,44.55,8.95,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000320,44.55,9.05,0,0.0,0.0,0.0,0.0
px_000321,44.55,9.15,0,0.0,0.0,0.0,0.0
px_000322,44.55,9.25,0,0.0,0.0,0.0,0.0
px_000323,44.55,9.35,0,0.0,0.0,0.0,0.0
px_000324,44.55,9.45,0,0.0,0.0,0.0,0.0
px_000325,44.55,9.55,0,0.0,0.0,0.0,0.0
px_000326,44.55,9.65,0,0.0,0.0,0.0,0.0
px_000327,44.55,9.75,0,0.0,0.0,0.0,0.0
px_000328,44.55,9.85,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000329,44.55,9.95,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000330,44.55,10.05,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000331,44.55,10.15,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000332,44.55,10.25,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000333,44.55,10.35,0,0.0,0.0,0.0,0.0
px_000334,44.55,10.45,0,0.0,0.0,0.0,0.0
px_000335,44.55,10.55,0,0.0,0.0,0.0,0.0
px_000336,44.55,10.65,0,0.0,0.0,0.0,0.0
px_000337,44.55,10.75,0,0.0,0.0,0.0,0.0
px_000338,44.55,10.85,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000339,44.55,10.95,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000340,44.55,11.05,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000341,44.55,11.15,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000342,44.55,11.25,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000343,44.55,11.35,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000344,44.55,11.45,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000345,44.55,11.55,0,0.0,0.0,0.0,0.0
px_000346,44.55,11.65,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000347,44.55,11.75,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000348,44.55,11.85,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000349,44.55,11.95,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000350,44.55,12.05,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000351,44.55,12.15,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000352,44.55,12.25,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000353,44.55,12.35,0,0.0,0.0,0.0,0.0
px_000354,44.55,12.45,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000355,44.55,12.55,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000356,44.55,12.65,3,0.15,0.1392920235749422,696.4601178747109,870.5751473433886
px_000357,44.55,12.75,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000358,44.55,12.85,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000359,44.55,12.95,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000360,44.65,7.05,0,0.0,0.0,0.0,0.0
px_000361,44.65,7.15,0,0.0,0.0,0.0,0.0
px_000362,44.65,7.25,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000363,44.65,7.35,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000364,44.65,7.45,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000365,44.65,7.55,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000366,44.65,7.65,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000367,44.65,7.75,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000368,44.65,7.85,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000369,44.65,7.95,0,0.0,0.0,0.0,0.0
px_000370,44.65,8.05,0,0.0,0.0,0.0,0.0
px_000371,44.65,8.15,0,0.0,0.0,0.0,0.0
px_000372,44.65,8.25,0,0.0,0.0,0.0,0.0
px_000373,44.65,8.35,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000374,44.65,8.45,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000375,44.65,8.55,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000376,44.65,8.65,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000377,44.65,8.75,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000378,44.65,8.85,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000379,44.65,8.95,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
